,image_2064,image_7168,image_617,image_60,image_9880,image_3190,image_1453,image_4405,image_2176,image_6423,image_8939,image_7058,image_7757,image_7156,image_7293,image_803,image_6020,image_9065,image_215,image_3081
image_2064,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7168,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_617,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_60,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9880,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3190,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
image_1453,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
image_4405,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_2176,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_6423,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_8939,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_7058,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_7757,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_7156,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_7293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_6020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_9065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_3081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
