,image_6199,image_3187,image_8702,image_5764,image_5632,image_4199,image_570,image_1568,image_3037,image_4103,image_5770,image_3021,image_4785,image_5977,image_861,image_4317,image_6045,image_404,image_9324
image_6199,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3187,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8702,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5764,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5632,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4199,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_570,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_1568,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_3037,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_4103,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_5770,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_3021,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_4785,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_5977,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_4317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_6045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_9324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
