Client ID,List Index,Number of Websites (FW),Number of Images (AC),Simple Cache (KB),Similarity Cache (KB)
1,1,1,10,250.98,227.67
2,1,1,10,468.57,396.16
3,1,1,10,3869.46,3869.46
4,1,1,10,422.38,422.38
5,1,1,10,15674.30,15674.30
6,1,1,10,751.86,751.86
7,1,1,10,759.25,582.22
8,1,1,10,2895.60,2759.07
9,1,1,10,486.35,464.88
10,1,1,10,17086.75,17086.75
11,1,1,10,97.02,97.02
12,1,1,10,274.19,274.19
13,1,1,10,1375.14,1375.14
14,1,1,10,1880.66,1730.49
15,1,1,10,1157.25,1157.25
16,1,1,10,1139.21,975.89
17,1,1,10,1273.95,1273.95
18,1,1,10,1142.21,1142.21
19,1,1,10,1274.38,1139.19
20,1,1,10,9818.86,9500.50
21,1,1,10,509.63,451.81
22,1,1,10,9064.96,9064.96
23,1,1,10,2830.57,2830.57
24,1,1,10,330.83,310.33
25,1,1,10,193.60,193.60
26,1,1,10,10166.86,9897.94
27,1,1,10,1838.98,1838.98
28,1,1,10,1914.74,1914.74
29,1,1,10,2346.77,2257.05
30,1,1,10,12829.08,12829.08
31,1,1,10,12125.14,12125.14
32,1,1,10,504.35,504.35
33,1,1,10,1422.95,1422.95
34,1,1,10,432.79,362.88
35,1,1,10,807.33,807.33
36,1,1,10,1451.03,1451.03
37,1,1,10,1220.52,883.36
38,1,1,10,488.17,488.17
39,1,1,10,2014.09,2014.09
40,1,1,10,2041.30,2041.30
41,1,1,10,616.08,492.51
42,1,1,10,1346.57,1346.57
43,1,1,10,1035.12,985.80
44,1,1,10,271.31,204.14
45,1,1,10,1449.31,1449.31
46,1,1,10,585.00,461.43
47,1,1,10,12929.55,12133.76
48,1,1,10,188.77,188.77
49,1,1,10,368.94,281.65
50,1,1,10,475.07,475.07
51,1,1,10,574.78,574.78
52,1,1,10,918.42,763.61
53,1,1,10,1417.08,1417.08
54,1,1,10,10768.68,10768.68
55,1,1,10,228.23,214.28
56,1,1,10,2456.56,2456.56
57,1,1,10,1075.77,1031.05
58,1,1,10,2834.05,2834.05
59,1,1,10,1341.01,1341.01
60,1,1,10,128.23,128.23
61,1,1,10,465.83,419.82
62,1,1,10,655.14,655.14
63,1,1,10,370.97,339.00
64,1,1,10,670.89,547.81
65,1,1,10,815.54,815.54
66,1,1,10,362.21,312.24
67,1,1,10,784.53,646.28
68,1,1,10,8258.35,8258.35
69,1,1,10,1691.32,1691.32
70,1,1,10,485.32,485.32
71,1,1,10,772.56,717.22
72,1,1,10,520.07,469.99
73,1,1,10,485.89,393.28
74,1,1,10,500.50,474.64
75,1,1,10,1316.01,1316.01
76,1,1,10,572.22,572.22
77,1,1,10,1085.59,1085.59
78,1,1,10,849.52,849.52
79,1,1,10,2755.72,2755.72
80,1,1,10,643.46,643.46
81,1,1,10,1763.25,1763.25
82,1,1,10,1033.98,1033.98
83,1,1,10,631.39,631.39
84,1,1,10,8143.21,7567.15
85,1,1,10,11479.70,10683.91
86,1,1,10,12634.04,11504.22
87,1,1,10,2814.60,2749.34
88,1,1,10,780.17,468.74
89,1,1,10,9162.81,9162.81
90,1,1,10,1368.08,1368.08
91,1,1,10,361.81,299.86
92,1,1,10,1120.04,1120.04
93,1,1,10,818.43,778.49
94,1,1,10,1636.14,1636.14
95,1,1,10,671.48,671.48
96,1,1,10,1906.22,1906.22
97,1,1,10,602.99,525.71
98,1,1,10,962.25,962.25
99,1,1,10,470.29,347.63
100,1,1,10,462.71,462.71
1,2,1,20,3801.66,3801.66
2,2,1,20,2214.82,2214.82
3,2,1,20,8585.44,7142.95
4,2,1,20,1131.32,703.60
5,2,1,20,2737.48,2257.41
6,2,1,20,2233.49,1935.90
