Client ID,List Index,Number of Websites (FW),Number of Images (AC),Simple Cache (KB),Similarity Cache (KB)
7,2,1,20,816.76,692.39
8,2,1,20,1356.12,1189.89
9,2,1,20,17433.75,17433.75
10,2,1,20,770.14,362.47
11,2,1,20,5376.54,5006.74
12,2,1,20,3582.62,3395.93
13,2,1,20,2490.35,2233.73
14,2,1,20,14178.99,14178.99
15,2,1,20,25733.83,25733.83
16,2,1,20,1272.48,1244.43
17,2,1,20,833.17,683.07
18,2,1,20,656.00,482.58
19,2,1,20,1215.68,1144.06
20,2,1,20,753.19,508.82
21,2,1,20,457.35,457.35
22,2,1,20,841.71,722.54
23,2,1,20,1087.87,922.13
24,2,1,20,811.93,750.44
25,2,1,20,1082.61,971.49
26,2,1,20,1390.90,789.16
27,2,1,20,16727.80,16727.80
28,2,1,20,18198.45,18132.49
29,2,1,20,9997.33,9713.56
30,2,1,20,1465.92,926.17
31,2,1,20,900.46,708.63
32,2,1,20,304.43,273.96
33,2,1,20,3602.82,2644.32
34,2,1,20,3667.93,3094.00
35,2,1,20,27031.00,25926.50
36,2,1,20,1650.11,1504.73
37,2,1,20,1424.07,1368.74
38,2,1,20,1178.73,959.38
39,2,1,20,2718.40,2316.33
40,2,1,20,2019.56,1643.27
41,2,1,20,2472.75,2472.75
42,2,1,20,6514.86,5389.69
43,2,1,20,4813.18,3611.93
44,2,1,20,1236.16,1120.76
45,2,1,20,1030.07,839.18
46,2,1,20,764.43,764.43
47,2,1,20,883.88,771.21
48,2,1,20,4143.82,3898.31
49,2,1,20,8349.21,7414.39
50,2,1,20,18751.46,18751.46
51,2,1,20,18558.96,18558.96
52,2,1,20,560.69,438.36
53,2,1,20,27645.47,24921.90
54,2,1,20,4064.54,3999.27
55,2,1,20,830.63,800.21
56,2,1,20,2670.42,2075.83
57,2,1,20,1724.82,1656.92
58,2,1,20,745.42,495.92
59,2,1,20,1505.75,1322.02
60,2,1,20,2157.26,2157.26
61,2,1,20,884.70,570.68
62,2,1,20,633.54,414.46
63,2,1,20,5366.77,5271.53
64,2,1,20,18370.01,18304.05
65,2,1,20,1916.67,1552.34
66,2,1,20,10243.24,9573.64
67,2,1,20,4266.48,4266.48
68,2,1,20,853.06,710.75
69,2,1,20,21641.01,21641.01
70,2,1,20,2923.56,2923.56
71,2,1,20,1894.42,1894.42
72,2,1,20,822.94,752.81
73,2,1,20,2743.61,2743.61
74,2,1,20,4467.68,4041.03
75,2,1,20,1583.28,1547.68
76,2,1,20,552.98,410.64
77,2,1,20,1493.28,1073.77
78,2,1,20,674.13,486.84
79,2,1,20,1122.12,1073.74
80,2,1,20,314.75,314.75
81,2,1,20,21097.55,19640.72
82,2,1,20,2640.03,2640.03
83,2,1,20,995.63,794.04
84,2,1,20,611.34,496.90
85,2,1,20,4644.58,4644.58
86,2,1,20,2623.09,2265.31
87,2,1,20,1457.67,1054.41
88,2,1,20,3333.42,3167.74
89,2,1,20,1422.95,1213.77
90,2,1,20,760.11,680.19
91,2,1,20,10199.65,9497.37
92,2,1,20,419.23,419.23
93,2,1,20,1443.00,1169.54
94,2,1,20,11827.68,11827.68
95,2,1,20,845.62,819.20
96,2,1,20,830.68,714.53
97,2,1,20,1927.78,1771.80
98,2,1,20,2912.24,2766.54
99,2,1,20,4309.50,4142.85
100,2,1,20,974.92,854.17
1,3,1,30,2021.54,1765.25
2,3,1,30,3765.04,2303.23
3,3,1,30,1974.96,1707.45
4,3,1,30,1379.84,1027.79
5,3,1,30,5313.65,4356.33
6,3,1,30,2803.64,2141.39
7,3,1,30,5254.49,4763.25
8,3,1,30,1372.96,945.81
9,3,1,30,993.79,783.48
10,3,1,30,1117.60,721.91
11,3,1,30,4692.26,3426.46
12,3,1,30,1547.35,969.18
13,3,1,30,3564.84,3354.00
14,3,1,30,2043.74,1655.99
15,3,1,30,2586.81,2386.18
16,3,1,30,534.40,534.40
17,3,1,30,408.80,408.80
18,3,1,30,1214.50,1042.59
19,3,1,30,2818.17,2818.17
20,3,1,30,1628.20,1150.69
21,3,1,30,1605.50,1234.23
22,3,1,30,3574.36,3470.71
23,3,1,30,1285.27,1194.38
24,3,1,30,3366.21,2523.21
25,3,1,30,3732.08,3596.35
26,3,1,30,362.32,323.17
27,3,1,30,21636.58,21296.95
28,3,1,30,4092.23,3602.10
29,3,1,30,1274.99,975.75
30,3,1,30,15355.42,13792.13
31,3,1,30,1390.43,1212.19
32,3,1,30,2618.34,2393.18
33,3,1,30,22313.72,21917.36
34,3,1,30,1071.61,957.55
35,3,1,30,4688.55,4131.38
36,3,1,30,17068.46,15800.45
37,3,1,30,1006.55,869.26
38,3,1,30,759.39,698.32
39,3,1,30,27001.86,25384.84
40,3,1,30,824.04,650.11
41,3,1,30,1942.48,1942.48
42,3,1,30,35457.83,35457.83
43,3,1,30,3834.41,3711.38
44,3,1,30,3458.92,3458.92
45,3,1,30,3750.17,3446.62
46,3,1,30,3412.65,3006.18
47,3,1,30,1174.09,1050.03
48,3,1,30,1280.54,1236.12
49,3,1,30,1529.42,1310.60
50,3,1,30,4607.76,2592.27
51,3,1,30,4754.48,961.20
52,3,1,30,1232.07,846.36
53,3,1,30,1701.39,1210.89
54,3,1,30,20554.51,19852.23
55,3,1,30,1752.89,1156.08
56,3,1,30,743.43,681.01
57,3,1,30,4685.86,2517.93
58,3,1,30,3829.21,3507.01
59,3,1,30,3018.52,2602.69
60,3,1,30,2117.21,2117.21
61,3,1,30,27481.29,26287.29
62,3,1,30,1700.70,1639.03
63,3,1,30,30720.65,29729.10
64,3,1,30,1232.07,1092.61
65,3,1,30,1674.11,1380.53
66,3,1,30,2037.32,1833.35
67,3,1,30,1538.58,1307.94
68,3,1,30,18512.31,18512.31
69,3,1,30,5957.38,5957.38
70,3,1,30,1685.10,1451.36
71,3,1,30,2842.76,1873.43
72,3,1,30,3422.37,3108.32
73,3,1,30,3846.80,3561.92
74,3,1,30,1219.95,1150.24
75,3,1,30,845.24,786.02
76,3,1,30,1613.06,1173.17
77,3,1,30,1262.58,963.02
78,3,1,30,2390.90,1922.38
79,3,1,30,3167.47,2951.37
80,3,1,30,507.05,495.23
81,3,1,30,1910.46,1507.72
82,3,1,30,2673.28,1853.19
83,3,1,30,501.20,501.20
84,3,1,30,500.76,500.76
85,3,1,30,3368.76,3130.05
86,3,1,30,1189.60,946.06
87,3,1,30,2209.97,1870.41
88,3,1,30,704.84,481.67
89,3,1,30,1806.10,1446.41
90,3,1,30,3869.20,3749.27
91,3,1,30,3179.83,2866.50
92,3,1,30,4470.00,3947.16
93,3,1,30,2015.00,1794.41
94,3,1,30,3371.68,3127.50
95,3,1,30,988.55,879.47
96,3,1,30,32888.27,30749.06
97,3,1,30,18092.97,14788.14
98,3,1,30,1447.64,1168.60
99,3,1,30,4810.71,3699.73
100,3,1,30,1606.30,1487.54
1,4,1,40,1148.38,1020.33
2,4,1,40,5998.30,5475.64
3,4,1,40,2042.45,1374.97
4,4,1,40,6456.03,6261.35
5,4,1,40,4852.63,4436.15
6,4,1,40,40217.73,39574.69
7,4,1,40,2307.21,1939.30
8,4,1,40,1170.46,871.74
9,4,1,40,2391.68,2114.85
10,4,1,40,2225.08,1986.51
11,4,1,40,7384.38,6138.75
12,4,1,40,4031.73,3933.29
13,4,1,40,4611.99,4494.04
14,4,1,40,1981.63,1740.04
15,4,1,40,2289.00,1962.04
16,4,1,40,2040.89,1116.08
17,4,1,40,1475.95,930.83
18,4,1,40,2178.55,1642.38
19,4,1,40,1214.49,690.99
20,4,1,40,4788.48,4569.28
21,4,1,40,32214.30,29361.85
22,4,1,40,4162.09,3479.14
23,4,1,40,4667.37,4480.69
24,4,1,40,2477.26,2099.19
25,4,1,40,40411.13,36822.17
26,4,1,40,3915.32,3278.55
27,4,1,40,1286.70,949.60
28,4,1,40,1819.33,1692.87
29,4,1,40,1027.58,712.74
30,4,1,40,1591.91,1365.97
31,4,1,40,621.95,484.67
32,4,1,40,4594.96,3340.07
33,4,1,40,34187.58,33391.79
34,4,1,40,7531.30,4725.80
35,4,1,40,1177.02,721.81
36,4,1,40,1167.70,821.25
37,4,1,40,4603.28,4530.10
38,4,1,40,1834.90,1505.59
39,4,1,40,4665.27,4320.71
40,4,1,40,4631.44,3879.06
41,4,1,40,994.91,815.18
42,4,1,40,1936.82,1753.69
43,4,1,40,3859.21,3266.35
44,4,1,40,5790.85,3110.36
45,4,1,40,8458.08,7981.36
46,4,1,40,1392.37,961.36
47,4,1,40,389.18,378.77
48,4,1,40,2997.92,2263.40
49,4,1,40,5049.05,4348.61
50,4,1,40,1658.73,1396.51
51,4,1,40,37014.54,35266.98
52,4,1,40,8420.11,3624.14
53,4,1,40,7477.87,4040.21
54,4,1,40,5849.27,5257.09
55,4,1,40,1367.05,1035.41
56,4,1,40,1491.65,1192.11
57,4,1,40,1166.64,857.29
58,4,1,40,4993.27,4394.23
59,4,1,40,5891.71,4784.97
60,4,1,40,5120.58,4830.02
61,4,1,40,3807.55,3525.63
62,4,1,40,6438.48,5540.01
63,4,1,40,1072.43,790.71
64,4,1,40,1138.27,885.49
65,4,1,40,1441.79,1180.63
66,4,1,40,2463.38,1985.99
67,4,1,40,4752.59,4265.28
68,4,1,40,593.80,593.80
69,4,1,40,5971.24,5686.94
70,4,1,40,1470.47,1253.04
71,4,1,40,1994.81,1414.06
72,4,1,40,6094.75,4899.51
73,4,1,40,500.69,461.63
74,4,1,40,5169.18,2324.89
75,4,1,40,1924.89,1475.78
76,4,1,40,1547.38,1189.18
77,4,1,40,6403.34,5897.20
78,4,1,40,6820.28,6583.13
79,4,1,40,23615.52,22809.38
80,4,1,40,26829.62,21357.24
81,4,1,40,1432.25,836.95
82,4,1,40,2281.53,1839.50
83,4,1,40,25956.72,24446.86
84,4,1,40,9297.92,3790.75
85,4,1,40,28833.21,25861.97
86,4,1,40,1931.40,1320.13
87,4,1,40,1326.14,937.70
88,4,1,40,1447.47,1273.90
89,4,1,40,2544.93,2129.21
90,4,1,40,3659.35,3270.97
91,4,1,40,42626.41,39029.62
92,4,1,40,5537.07,2927.46
93,4,1,40,4458.42,3390.94
94,4,1,40,6780.16,5295.19
95,4,1,40,428.49,421.76
96,4,1,40,7719.13,6702.86
97,4,1,40,1935.00,1254.65
98,4,1,40,5908.08,2788.48
99,4,1,40,1491.62,1321.01
100,4,1,40,1310.95,1165.03
1,5,2,10,4635.67,4635.67
2,5,2,10,978.11,978.11
3,5,2,10,719.51,701.41
4,5,2,10,260.60,260.60
5,5,2,10,265.32,265.32
6,5,2,10,1241.58,1158.97
7,5,2,10,410.33,347.38
8,5,2,10,967.86,967.86
9,5,2,10,587.00,587.00
10,5,2,10,11761.33,11761.33
11,5,2,10,784.86,784.86
12,5,2,10,5205.79,5205.79
13,5,2,10,267.43,267.43
14,5,2,10,1388.77,1340.39
15,5,2,10,6434.12,6434.12
16,5,2,10,639.55,559.29
17,5,2,10,215.73,215.73
18,5,2,10,1553.75,1553.75
19,5,2,10,923.02,874.97
20,5,2,10,4277.27,4277.27
21,5,2,10,1184.25,1184.25
22,5,2,10,866.60,389.81
23,5,2,10,911.85,911.85
24,5,2,10,6739.22,6739.22
25,5,2,10,893.84,893.84
26,5,2,10,882.50,882.50
27,5,2,10,3045.17,3045.17
28,5,2,10,10632.90,10632.90
29,5,2,10,1362.71,1362.71
30,5,2,10,519.42,519.42
31,5,2,10,1710.85,1710.85
32,5,2,10,890.99,890.99
33,5,2,10,1152.81,1152.81
34,5,2,10,2263.65,2263.65
35,5,2,10,825.61,802.29
36,5,2,10,516.50,516.50
37,5,2,10,1798.24,1798.24
38,5,2,10,675.38,537.14
39,5,2,10,873.72,873.72
40,5,2,10,610.99,610.99
41,5,2,10,1413.11,1413.11
42,5,2,10,5080.19,5080.19
43,5,2,10,2719.00,2719.00
44,5,2,10,583.70,583.70
45,5,2,10,235.84,235.84
46,5,2,10,828.46,595.51
47,5,2,10,167.45,160.72
48,5,2,10,935.76,935.76
49,5,2,10,1027.23,1027.23
50,5,2,10,1480.54,1480.54
51,5,2,10,1894.61,902.18
52,5,2,10,9572.50,9572.50
53,5,2,10,16001.60,16001.60
54,5,2,10,1930.37,1930.37
55,5,2,10,8526.86,8526.86
56,5,2,10,6856.80,6856.80
57,5,2,10,699.34,605.04
58,5,2,10,1493.59,1493.59
59,5,2,10,524.14,498.94
60,5,2,10,979.69,801.91
61,5,2,10,859.83,799.07
62,5,2,10,754.35,754.35
63,5,2,10,925.34,925.34
64,5,2,10,636.12,636.12
65,5,2,10,924.76,924.76
66,5,2,10,996.82,996.82
67,5,2,10,991.13,991.13
68,5,2,10,573.65,573.65
69,5,2,10,1926.01,1926.01
70,5,2,10,334.17,334.17
71,5,2,10,1009.43,1009.43
72,5,2,10,641.20,595.28
73,5,2,10,359.63,359.63
74,5,2,10,613.93,613.93
75,5,2,10,1234.25,1094.47
76,5,2,10,2980.23,2980.23
77,5,2,10,1154.77,951.41
78,5,2,10,607.86,513.56
79,5,2,10,479.26,479.26
80,5,2,10,1152.21,1152.21
81,5,2,10,2404.56,2003.53
82,5,2,10,685.38,685.38
83,5,2,10,8805.12,8805.12
84,5,2,10,972.65,972.65
85,5,2,10,758.78,645.89
86,5,2,10,551.18,431.25
87,5,2,10,317.03,317.03
88,5,2,10,2273.33,2273.33
89,5,2,10,556.74,556.74
90,5,2,10,1012.44,1012.44
91,5,2,10,558.73,558.73
92,5,2,10,576.62,576.62
93,5,2,10,3847.82,3847.82
94,5,2,10,1015.08,1015.08
95,5,2,10,1140.63,1140.63
96,5,2,10,527.54,482.02
97,5,2,10,7300.34,7300.34
98,5,2,10,507.81,507.81
99,5,2,10,531.62,531.62
100,5,2,10,1733.05,1733.05
1,6,2,20,1344.91,1267.59
2,6,2,20,5208.87,5073.68
3,6,2,20,567.60,524.24
4,6,2,20,11494.74,11494.74
5,6,2,20,2182.10,1867.78
6,6,2,20,10457.23,10363.62
7,6,2,20,3336.92,3032.70
8,6,2,20,1394.79,1348.05
9,6,2,20,15397.48,15397.48
10,6,2,20,1671.29,1671.29
11,6,2,20,792.95,740.65
12,6,2,20,2746.15,2746.15
13,6,2,20,3310.55,3310.55
14,6,2,20,1610.93,1610.93
15,6,2,20,1076.99,1076.99
16,6,2,20,800.14,751.28
17,6,2,20,13286.41,13286.41
18,6,2,20,11355.97,11355.97
19,6,2,20,970.56,796.25
20,6,2,20,1152.36,922.47
21,6,2,20,1413.21,1413.21
22,6,2,20,3155.49,3104.80
23,6,2,20,2221.59,1928.01
24,6,2,20,1190.12,1107.58
25,6,2,20,2086.62,2086.62
26,6,2,20,1110.28,1110.28
27,6,2,20,1133.83,1083.94
28,6,2,20,3332.55,2137.33
29,6,2,20,1469.17,1434.27
30,6,2,20,13227.64,13122.64
31,6,2,20,1115.63,885.67
32,6,2,20,1624.81,1336.37
33,6,2,20,818.75,818.75
34,6,2,20,2938.30,2212.23
35,6,2,20,12539.61,12490.75
36,6,2,20,2197.97,2095.92
37,6,2,20,2298.98,2177.25
38,6,2,20,8204.53,7627.96
39,6,2,20,5642.01,5506.82
40,6,2,20,1297.04,1159.16
41,6,2,20,10477.81,10477.81
42,6,2,20,3242.65,3242.65
43,6,2,20,1232.36,1232.36
44,6,2,20,14036.73,13651.74
45,6,2,20,16107.09,15970.55
46,6,2,20,491.71,477.76
47,6,2,20,1799.47,1799.47
48,6,2,20,1451.99,1210.28
49,6,2,20,4933.03,4883.86
50,6,2,20,4737.37,4737.37
51,6,2,20,1722.07,1722.07
52,6,2,20,15016.99,15016.99
53,6,2,20,1771.09,1488.57
54,6,2,20,1356.55,1323.91
55,6,2,20,12673.85,12673.85
56,6,2,20,2867.85,2585.32
57,6,2,20,4441.03,4377.77
58,6,2,20,13233.79,13233.79
59,6,2,20,2421.08,2421.08
60,6,2,20,4239.92,4009.77
61,6,2,20,3056.18,2813.38
62,6,2,20,987.62,905.67
63,6,2,20,525.76,525.76
64,6,2,20,1480.92,1189.35
65,6,2,20,829.33,767.54
66,6,2,20,22254.42,22254.42
67,6,2,20,2470.84,2470.84
68,6,2,20,1858.97,1694.45
69,6,2,20,1141.00,1141.00
70,6,2,20,356.43,356.43
71,6,2,20,2814.27,2783.31
72,6,2,20,1422.88,1136.32
73,6,2,20,1463.97,1190.71
74,6,2,20,856.40,856.40
75,6,2,20,1602.47,1532.17
76,6,2,20,935.58,880.26
77,6,2,20,1490.40,1336.45
78,6,2,20,2011.38,1561.41
79,6,2,20,1182.13,1138.22
80,6,2,20,2408.96,2332.49
81,6,2,20,1757.50,1580.46
82,6,2,20,14950.27,14909.12
83,6,2,20,2268.31,2268.31
84,6,2,20,8483.65,8415.74
85,6,2,20,7428.66,5930.59
86,6,2,20,3347.88,3174.32
87,6,2,20,1516.12,1085.47
88,6,2,20,23306.18,23110.65
89,6,2,20,414.62,391.50
90,6,2,20,1412.00,1412.00
91,6,2,20,1359.25,1302.83
92,6,2,20,16239.76,16125.78
93,6,2,20,2211.19,2018.61
94,6,2,20,1730.82,1730.82
95,6,2,20,909.98,685.51
96,6,2,20,326.56,290.17
97,6,2,20,18244.17,18244.17
98,6,2,20,2038.57,1780.99
99,6,2,20,2593.41,2496.42
100,6,2,20,2411.50,2411.50
1,7,2,30,25666.73,24072.97
2,7,2,30,1961.85,1774.08
3,7,2,30,8358.18,7057.68
4,7,2,30,2319.13,2151.92
5,7,2,30,4054.67,3926.86
6,7,2,30,1975.15,1862.26
7,7,2,30,4042.44,3965.12
8,7,2,30,3894.65,3894.65
9,7,2,30,22433.24,21059.40
10,7,2,30,1350.24,1212.88
11,7,2,30,2672.75,2206.95
12,7,2,30,2621.15,2095.81
13,7,2,30,1373.81,1212.95
14,7,2,30,18702.03,18702.03
15,7,2,30,10452.34,10282.53
16,7,2,30,3212.55,2797.83
17,7,2,30,1684.75,1608.28
18,7,2,30,1029.41,838.50
19,7,2,30,8501.30,7463.53
20,7,2,30,3500.48,2924.18
21,7,2,30,2336.16,2294.57
22,7,2,30,3055.24,2692.09
23,7,2,30,765.64,765.64
24,7,2,30,3961.35,3600.93
25,7,2,30,4194.36,3621.52
26,7,2,30,3629.79,3268.94
27,7,2,30,1573.19,1433.10
28,7,2,30,17484.29,17484.29
29,7,2,30,14822.22,14152.61
30,7,2,30,22815.16,21685.34
31,7,2,30,3872.69,3532.10
32,7,2,30,3435.55,3002.86
33,7,2,30,3071.44,3050.65
34,7,2,30,10733.23,10325.56
35,7,2,30,2843.40,2703.62
36,7,2,30,2335.36,2096.53
37,7,2,30,4352.13,4154.88
38,7,2,30,1897.58,1779.23
39,7,2,30,3674.95,3614.07
40,7,2,30,3863.44,3588.21
41,7,2,30,1705.16,1416.15
42,7,2,30,15422.96,13730.28
43,7,2,30,3657.98,3131.59
44,7,2,30,1533.66,1533.66
45,7,2,30,2041.52,1645.60
46,7,2,30,2423.49,2258.44
47,7,2,30,12741.31,12741.31
48,7,2,30,3024.72,2436.34
49,7,2,30,23729.68,23729.68
50,7,2,30,2602.67,2602.67
51,7,2,30,19772.66,19409.87
52,7,2,30,1505.97,1505.97
53,7,2,30,2720.35,2472.34
54,7,2,30,2845.68,2061.23
55,7,2,30,3075.95,3019.73
56,7,2,30,3547.60,3503.25
57,7,2,30,2444.86,1850.26
58,7,2,30,5613.21,4431.14
59,7,2,30,12983.99,12952.41
60,7,2,30,1941.16,1934.43
61,7,2,30,16447.32,16210.43
62,7,2,30,3684.76,3530.87
63,7,2,30,2508.54,2379.38
64,7,2,30,17887.54,16567.35
65,7,2,30,18697.00,18569.76
66,7,2,30,1506.64,1303.69
67,7,2,30,2475.11,2403.35
68,7,2,30,1320.64,1168.04
69,7,2,30,20019.80,19918.45
70,7,2,30,965.68,965.68
71,7,2,30,1153.85,1081.95
72,7,2,30,5576.67,3441.12
73,7,2,30,2801.45,2463.56
74,7,2,30,6404.20,6324.39
75,7,2,30,2596.16,2112.26
76,7,2,30,3580.05,3412.52
77,7,2,30,3003.35,2936.44
78,7,2,30,4441.24,3302.34
79,7,2,30,3976.03,2608.57
80,7,2,30,2636.71,2485.34
81,7,2,30,2312.71,2181.46
82,7,2,30,3708.32,3433.54
83,7,2,30,19711.70,18767.94
84,7,2,30,5625.61,5364.38
85,7,2,30,2381.01,2063.80
86,7,2,30,21626.39,17957.49
87,7,2,30,4124.61,3742.75
88,7,2,30,5998.69,5863.86
89,7,2,30,3012.22,2642.75
90,7,2,30,690.69,669.18
91,7,2,30,13754.21,13665.09
92,7,2,30,1973.22,1966.49
93,7,2,30,7058.64,7058.64
94,7,2,30,12145.38,12041.72
95,7,2,30,4443.20,2879.47
96,7,2,30,19411.47,18684.73
97,7,2,30,1487.66,1487.66
98,7,2,30,1627.95,1592.35
99,7,2,30,2715.97,2526.18
100,7,2,30,2926.89,2860.56
1,8,2,40,2164.53,1949.17
2,8,2,40,2957.53,2332.29
3,8,2,40,7346.55,7219.84
4,8,2,40,3218.38,2773.23
5,8,2,40,6511.20,5827.13
6,8,2,40,3639.33,2884.12
7,8,2,40,3752.38,3540.56
8,8,2,40,2628.39,2301.14
9,8,2,40,7497.73,6506.01
10,8,2,40,4749.93,4567.49
11,8,2,40,3861.90,3790.14
12,8,2,40,22866.86,21665.92
13,8,2,40,3955.24,3955.24
14,8,2,40,3748.73,3388.29
15,8,2,40,3008.82,2851.09
16,8,2,40,4127.71,3550.76
17,8,2,40,3102.82,2715.14
18,8,2,40,1924.10,1627.23
19,8,2,40,2205.35,1350.26
20,8,2,40,26830.77,24617.41
21,8,2,40,2458.93,2164.08
22,8,2,40,1550.58,1315.77
23,8,2,40,756.78,738.19
24,8,2,40,995.51,895.13
25,8,2,40,6627.34,5215.69
26,8,2,40,2501.76,2175.99
27,8,2,40,3795.38,3795.38
28,8,2,40,1462.89,1302.92
29,8,2,40,2791.49,1902.86
30,8,2,40,3441.54,3213.75
31,8,2,40,3657.95,3226.92
32,8,2,40,21591.24,21412.97
33,8,2,40,18778.52,17786.10
34,8,2,40,9195.88,8091.11
35,8,2,40,2107.95,1626.69
36,8,2,40,1942.99,1647.13
37,8,2,40,23781.56,22569.66
38,8,2,40,4022.38,3655.87
39,8,2,40,4129.46,3596.17
40,8,2,40,2457.65,2283.40
41,8,2,40,2570.20,2270.96
42,8,2,40,5600.98,5460.29
43,8,2,40,3029.02,2614.21
44,8,2,40,1174.06,1017.82
45,8,2,40,6750.67,4312.78
46,8,2,40,17761.79,15212.15
47,8,2,40,4768.92,4252.27
48,8,2,40,4487.08,4267.67
49,8,2,40,2117.29,1963.54
50,8,2,40,4474.72,3675.42
51,8,2,40,3287.12,3076.93
52,8,2,40,20184.08,19851.22
53,8,2,40,2711.13,2637.91
54,8,2,40,2593.64,2231.22
55,8,2,40,6611.05,6366.18
56,8,2,40,4339.90,3808.82
57,8,2,40,1934.15,1627.89
58,8,2,40,1796.42,1521.98
59,8,2,40,25815.23,21568.97
60,8,2,40,5217.87,3245.26
61,8,2,40,23359.39,21336.93
62,8,2,40,4106.51,4063.57
63,8,2,40,17118.89,16988.25
64,8,2,40,19285.88,19285.88
65,8,2,40,6079.93,6079.93
66,8,2,40,6920.30,6683.12
67,8,2,40,1696.82,1460.48
68,8,2,40,10594.27,10462.86
69,8,2,40,2213.81,1955.70
70,8,2,40,3335.54,2775.78
71,8,2,40,3286.66,3026.32
72,8,2,40,6611.58,6286.52
73,8,2,40,6958.20,4799.40
74,8,2,40,16416.96,15197.82
75,8,2,40,6937.56,6130.21
76,8,2,40,18127.02,15866.98
77,8,2,40,756.86,756.86
78,8,2,40,29423.44,29218.72
79,8,2,40,17711.85,17477.00
80,8,2,40,18969.09,17212.36
81,8,2,40,3175.24,2593.89
82,8,2,40,2249.84,1954.88
83,8,2,40,5603.88,5120.16
84,8,2,40,1480.20,907.88
85,8,2,40,28522.72,26610.61
86,8,2,40,4719.29,4529.50
87,8,2,40,35502.43,35419.04
88,8,2,40,2515.29,2052.79
89,8,2,40,4060.03,3844.50
90,8,2,40,998.74,953.72
91,8,2,40,5909.14,5710.43
92,8,2,40,4418.74,4047.19
93,8,2,40,21188.72,19238.54
