,image_9777,image_2918,image_8112,image_8464,image_352,image_4671,image_8735,image_54,image_2697,image_146,image_2708,image_7174,image_4417
image_9777,4,4,0,0,0,0,0,0,0,0,0,0,0
image_2918,4,4,0,0,0,0,0,0,0,0,0,0,0
image_8112,0,0,4,0,0,0,0,0,0,0,0,0,0
image_8464,0,0,0,4,0,0,0,0,0,0,0,0,0
image_352,0,0,0,0,4,0,0,0,0,0,0,0,0
image_4671,0,0,0,0,0,4,4,4,2,0,0,0,2
image_8735,0,0,0,0,0,4,4,0,2,0,0,0,2
image_54,0,0,0,0,0,4,0,4,0,0,0,0,0
image_2697,0,0,0,0,0,2,2,0,4,2,2,0,4
image_146,0,0,0,0,0,0,0,0,2,4,4,0,2
image_2708,0,0,0,0,0,0,0,0,2,4,4,0,2
image_7174,0,0,0,0,0,0,0,0,0,0,0,4,0
image_4417,0,0,0,0,0,2,2,0,4,2,2,2,4
