,image_3673,image_3071,image_5209,image_4097,image_12,image_7949,image_2694,image_6070,image_4538,image_2704,image_3617,image_4033
image_3673,4,0,0,0,0,0,0,0,0,0,0,0
image_3071,0,4,0,0,0,0,0,0,0,0,0,0
image_5209,0,0,4,0,4,0,0,0,0,0,0,4
image_4097,0,0,0,4,2,4,4,0,4,4,0,0
image_12,0,0,0,0,4,0,0,0,3,0,0,4
image_7949,0,0,0,0,0,4,0,0,4,4,0,0
image_2694,0,0,0,0,0,0,4,0,4,4,0,0
image_6070,0,0,0,0,0,0,0,4,0,2,0,0
image_4538,0,0,0,0,0,0,0,0,4,4,0,0
image_2704,0,0,0,0,0,0,0,0,0,4,0,0
image_3617,0,0,0,0,0,0,0,0,0,0,4,0
image_4033,0,0,0,0,0,0,0,0,0,0,0,4
