,image_6463,image_409,image_8035,image_3553,image_7756,image_7389,image_3235,image_9678,image_6113,image_8676,image_3496,image_6511,image_8627,image_6190
image_6463,4,0,0,0,4,0,0,0,0,0,0,0,0,0
image_409,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_8035,0,0,4,0,0,0,0,4,0,0,0,4,0,0
image_3553,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_7756,4,0,0,0,4,0,0,0,0,0,0,0,0,0
image_7389,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_3235,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_9678,0,0,4,0,0,0,0,4,0,0,0,0,0,0
image_6113,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_8676,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_3496,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_6511,0,0,4,0,0,0,0,0,0,0,0,4,0,0
image_8627,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_6190,0,0,0,0,0,0,0,0,0,0,0,0,0,4
