,image_8560,image_184,image_4091,image_478,image_2682,image_7303,image_9814,image_8278,image_9006,image_8463,image_9962,image_9017,image_6115,image_7521,image_7726
image_8560,4,0,0,0,0,0,0,0,0,1,1,0,1,1,1
image_184,0,4,0,0,0,0,0,0,0,1,1,0,1,1,1
image_4091,0,0,4,0,0,0,0,0,0,1,1,0,1,1,1
image_478,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_2682,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_7303,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_9814,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_8278,0,0,0,0,0,0,0,4,0,1,1,0,1,1,1
image_9006,0,0,0,0,0,0,0,0,4,1,1,0,1,1,1
image_8463,1,1,1,0,0,0,0,1,1,4,4,1,4,4,4
image_9962,1,1,1,0,0,0,0,1,1,4,4,1,4,4,4
image_9017,0,0,0,0,0,0,0,0,0,1,1,4,1,1,1
image_6115,1,1,1,0,0,0,0,1,1,4,4,1,4,4,4
image_7521,1,1,1,0,0,0,0,1,1,4,4,1,4,4,4
image_7726,1,1,1,0,0,0,0,1,1,4,4,1,4,4,4
